train_loss,val_loss,val_acc
4.877273144960572737e-01,2.478064899743064042e-01,9.144402737911238033e-01
1.838393425381660284e-01,2.137106294517723548e-01,9.283506292779862834e-01
1.319337323290364905e-01,1.286553360882066455e-01,9.569441377787590852e-01
9.823674961399293803e-02,1.352844879592154659e-01,9.581585338926915663e-01
7.848271558985293883e-02,1.022594682732463345e-01,9.685361006844778187e-01
6.258301534660218324e-02,8.364144386260957686e-02,9.768160741885625331e-01
5.299533971565283802e-02,8.157255329301905944e-02,9.780304703024950141e-01
4.129429716094253078e-02,7.748643436783142491e-02,9.809008611172443937e-01
3.891346562377930723e-02,7.197083906655307728e-02,9.815632589975712419e-01
3.767218657484820710e-02,7.022073154096493408e-02,9.822256568778979791e-01
7.355463556929460467e-02,1.197229501301680515e-01,9.652241112828439107e-01
6.347394968449773800e-02,9.938846565050961368e-02,9.717376904393906223e-01
5.066917951236189765e-02,9.992429716576307908e-02,9.716272907926694069e-01
4.386356791368127561e-02,1.054479218830228493e-01,9.706336939721792456e-01
4.007179432158382987e-02,7.626816825326354632e-02,9.791344667697062798e-01
3.598916564380866268e-02,1.050550189690956787e-01,9.731728858467653120e-01
3.208744811849910394e-02,8.055898459242863408e-02,9.800176639434753367e-01
2.813260825432401663e-02,7.716073953297970800e-02,9.831088540516670360e-01
2.422523195153577710e-02,7.551581956225421333e-02,9.814528593508500265e-01
2.209736748429084324e-02,6.529239784963396243e-02,9.848752483992051499e-01
1.894025561221953854e-02,7.361727484828241297e-02,9.838816515787148775e-01
1.570756654452284962e-02,6.954569334375448886e-02,9.848752483992051499e-01
1.519977670556861039e-02,7.641926574903043501e-02,9.838816515787148775e-01
1.208954910162297891e-02,6.723363888831419832e-02,9.862000441598586242e-01
1.074036556829903108e-02,6.903623398572424075e-02,9.855376462795318870e-01
8.680331979853791319e-03,6.830096482457093110e-02,9.854272466328107827e-01
9.196571521734215465e-03,6.748733354034287812e-02,9.858688452196953111e-01
7.640314925645319555e-03,6.811886442499574812e-02,9.854272466328107827e-01
8.057179497737770521e-03,6.807658039711494968e-02,9.850960476926473586e-01
7.293544490809541342e-03,6.816085613274390498e-02,9.850960476926473586e-01
4.999526140800260310e-02,8.389339923671926269e-02,9.794656657098697039e-01
3.603453027854622986e-02,9.128767677705564021e-02,9.750496798410245303e-01
3.039389928273622185e-02,9.267005293518403020e-02,9.795760653565908083e-01
2.455361848016393220e-02,9.778679409488989782e-02,9.771472731287259572e-01
