train_loss,val_loss,val_acc
1.003891138455702547e+00,7.929781797469701576e-01,9.081474939280194114e-01
7.559543528820793501e-01,7.435440018519736682e-01,9.300066239788032929e-01
7.003118358522490983e-01,6.879726257590590421e-01,9.495473614484433167e-01
6.755825124651031466e-01,6.763423567814236259e-01,9.521969529697504875e-01
6.569736162652241029e-01,6.457646190791130891e-01,9.636785162287480055e-01
6.433041650718173132e-01,6.413610076951675731e-01,9.654449105762861194e-01
6.338819405923703521e-01,6.307001243129316537e-01,9.685361006844778187e-01
6.292895352386373986e-01,6.220199509445050179e-01,9.732832854934864164e-01
6.261263937709854455e-01,6.199460194505164168e-01,9.721792890262751508e-01
6.225977892990735008e-01,6.172706303703887620e-01,9.732832854934864164e-01
6.282005629416529402e-01,6.841592177251865081e-01,9.456833738132037759e-01
6.194235928915396983e-01,6.254742702366000717e-01,9.690880989180834515e-01
6.100812265995351202e-01,6.178044294989853968e-01,9.712960918525060938e-01
6.016570434351465879e-01,6.256707812361065324e-01,9.710752925590637741e-01
5.953287190795367723e-01,6.221550950600786001e-01,9.694192978582468756e-01
5.933800640217881117e-01,6.013299270717480383e-01,9.771472731287259572e-01
5.882962944689782425e-01,5.989259283756889207e-01,9.764848752483992200e-01
5.831784349145521240e-01,6.153835357090947644e-01,9.705232943254581413e-01
5.803318076390928670e-01,5.998634085351990386e-01,9.771472731287259572e-01
5.771841722034466438e-01,5.905591089827094686e-01,9.801280635901964411e-01
5.743368244464441830e-01,5.887327302920947192e-01,9.786928681828217513e-01
5.718417928606335243e-01,5.851623320268937167e-01,9.805696621770809696e-01
5.700954909721728248e-01,5.790660012950168412e-01,9.831088540516670360e-01
5.690843617687671996e-01,5.761515421829468409e-01,9.837712519319937732e-01
5.677741586781293037e-01,5.783886947519181199e-01,9.841024508721571973e-01
5.671412635475630015e-01,5.748202249318933310e-01,9.843232501655994060e-01
5.667328099085418014e-01,5.746014007908220034e-01,9.841024508721571973e-01
5.656079494927773732e-01,5.749222218371774495e-01,9.836608522852726688e-01
5.662866368371599624e-01,5.745912683828694467e-01,9.833296533451092447e-01
5.646733953142267781e-01,5.748248417452750392e-01,9.834400529918304601e-01
5.681001186286244176e-01,5.840463634489071465e-01,9.807904614705232893e-01
5.692206550467964199e-01,5.882676190349749312e-01,9.791344667697062798e-01
5.673982911056905110e-01,5.846443788371988859e-01,9.805696621770809696e-01
5.664487728278406742e-01,5.845100320209386524e-01,9.801280635901964411e-01
5.646741589953889751e-01,5.882014605903709281e-01,9.801280635901964411e-01
5.617463318174094056e-01,5.963297256520052603e-01,9.758224773680723718e-01
