train_loss,val_loss,val_acc
9.299252305663672225e-01,7.336425720447734555e-01,9.252594391697945841e-01
6.940447397736304591e-01,6.480576882933012373e-01,9.592625303599028319e-01
6.431589776019495108e-01,6.389316526252087902e-01,9.609185250607197304e-01
6.139084041104521106e-01,6.073106725922903237e-01,9.724000883197173595e-01
5.946535961493155664e-01,6.037218441339906594e-01,9.717376904393906223e-01
5.813967045949146595e-01,5.874464101390244331e-01,9.778096710090528054e-01
5.738766239358934484e-01,5.800079578962723525e-01,9.813424597041289221e-01
5.669632681019063369e-01,5.762121092275584999e-01,9.829984544049459316e-01
5.619126382662608110e-01,5.725779315840463513e-01,9.841024508721571973e-01
5.601578241689622040e-01,5.715997566395601970e-01,9.842128505188783016e-01
5.834294955781765823e-01,5.947658876942124584e-01,9.747184809008611062e-01
5.756587535629380525e-01,5.896096778484495315e-01,9.756016780746301631e-01
5.672502145689374276e-01,5.805889034171218821e-01,9.789136674762640711e-01
5.588480185103071873e-01,5.799423475143371531e-01,9.799072642967542324e-01
5.539958657173786882e-01,5.808724003876247766e-01,9.779200706557739098e-01
5.519172010169064446e-01,5.737952723437835800e-01,9.801280635901964411e-01
5.463410916524714667e-01,5.796900985651022298e-01,9.776992713623315900e-01
5.448195267970155076e-01,5.662911045522346365e-01,9.838816515787148775e-01
5.425347503799057280e-01,5.674207410056429923e-01,9.833296533451092447e-01
