train_loss,val_loss,val_acc
9.212111676193338594e-01,7.690348500946442289e-01,9.122322808567012720e-01
6.881200515296066467e-01,6.500625599033391655e-01,9.556193420181054998e-01
6.407859480857623913e-01,6.299894492498268050e-01,9.641201148156325340e-01
6.142381189589751767e-01,6.132167663682662750e-01,9.682049017443143946e-01
5.939317427602027744e-01,6.117193740339146313e-01,9.703024950320159325e-01
5.846506393799015822e-01,6.186889787598355284e-01,9.647825126959593822e-01
5.754782351613862978e-01,5.840628144229897956e-01,9.784720688893795426e-01
5.687348898291334498e-01,5.879766673251055620e-01,9.748288805475822105e-01
5.630051341411038690e-01,5.835532249796862025e-01,9.786928681828217513e-01
5.593737823956961286e-01,5.770598327542383332e-01,9.797968646500331280e-01
5.481244231161565006e-01,5.619291734105836822e-01,9.853168469860896783e-01
5.441165950243597171e-01,5.604779112678565101e-01,9.855376462795318870e-01
5.418410554771477816e-01,5.580382251560517259e-01,9.868624420401854724e-01
5.421008320996347774e-01,5.585723124110533178e-01,9.862000441598586242e-01
5.416864890168963109e-01,5.570962329420408032e-01,9.874144402737911053e-01
5.416244814292685561e-01,5.567839959121008153e-01,9.863104438065798396e-01
5.411292604077981849e-01,5.569393822335596544e-01,9.869728416869065768e-01
5.395076487908725404e-01,5.573638943047627414e-01,9.868624420401854724e-01
5.379238105959607275e-01,5.570324909005319736e-01,9.878560388606756337e-01
5.378307503731165617e-01,5.561401235343973459e-01,9.876352395672333140e-01
5.367594708977846407e-01,5.555546624319893656e-01,9.878560388606756337e-01
5.372142679335407678e-01,5.551270649616858455e-01,9.875248399205122096e-01
5.369424044366759574e-01,5.551844627869315651e-01,9.877456392139545294e-01
